,Emotion,URLs,color
28,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTFb7f0L5PhOix1gBZehccfOPAl4cjEA9SfFm0hspHSN_LogJv4kDccWZpDg&s,"(181, 170, 137)"
29,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtxBZNk8exCMfoDooPW_Q2sY9J8iTrs3V7s0Qi6L2CT1pHQz2aSDBpwypeiA&s,"(221, 212, 48)"
30,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuhuwwQexjnG6dlY30-9cJsQPvtmdUZFA1d7ZXBknnFaf3b68x2Vz_3i-oTZ8&s,"(173, 133, 111)"
31,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP8DXDXxVsTCxLuv4wO5mXQPLeQ-k9sSiC8IK04sBjd642ljlGDW0rY7omDw&s,"(50, 166, 209)"
32,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKqkfoGu_LnwAXPBZDMqmdOPGJcvxlewB2sGsKDccLnHJK9AMq2XaYvtPtOkA&s,"(248, 186, 22)"
33,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCftlBvbd86RB-mez0tAk7mVwEdSUj5hz6acTXsxob4ffUuplgEZhTiZHP0JI&s,"(20, 12, 9)"
34,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLjnKbPLGjjtmnqnaibb2OYlqBy3hz4cvFc06BDTHWwIAeCJCV6V7pxhLacFY&s,"(213, 158, 17)"
35,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8jm3Tdn4xrtSvwbIInH5ATs_HEWhIBsA-j82C0dzZ2D9MevGq2AN4TR0WICA&s,"(212, 201, 193)"
36,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHE07TOmYmJTwrlVYOF0EQZlwGrSkUHlBTzRSx17ET9dX_6MMJIFfBT0npUpw&s,"(197, 120, 13)"
37,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJFHH9SToHEJfUMjZI-cHspAD_fqCrDY6sGfYiHCCqZrwULp6S2WE3Wnq9fg&s,"(160, 219, 221)"
38,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqf2rbWCmUwzFsSUsnbV3cyupBP0_E2GL3x5DBAL6hVzN07g24XY-5UrOh0Q&s,"(18, 204, 238)"
