,Emotion,URLs,color
28,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAzX5j0MnFapRIOTHLlA3Ug83Td4-KoUDbPwU8X8FJOOxziXYbtm4coeF6iT0&s,"(207, 159, 129)"
29,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbWvg9hfGNKfHUgiDyynw5_HG6cIpDzBAbQGACNZrP4ld8Gnex38DGykEklv8&s,"(71, 73, 33)"
30,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRT7KnrVh2Nh6q0YNI0xjWN_G6Y8X3W6Hrj3tG_i9zvAQkQNCgYB6E4UkwEC7Y&s,"(192, 204, 195)"
31,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ8SWUTbTHiol-ymR4HXRY8pg692JZXroE4cqKK_wov3sUEqh0qC56h_Pn9f8&s,"(55, 71, 74)"
32,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLOMKMWPqljhOxZVkn-vPvzuVdUhJyLeKwvjGOwT8pfTl7C_2CVGl2CoxZja4&s,"(229, 144, 30)"
33,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0VXh1Wfz-ExhaUckffb5uerbdc-M5PJvk6NOfHkkkVLEdxkBA_mUCLcHfRw&s,"(198, 179, 59)"
34,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSetmEvEc90SR2nu2pLDaccErySK23ssAAQ9Sblhk6JqU6e8mVxe6NkhuPaHC4&s,"(47, 47, 36)"
35,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoenk2j5NGD0TjhgntOBufbsUyGdVBaSj-XO5YInVbM785rswBCgVZhFu5oQ&s,"(204, 181, 170)"
36,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_kvQjXhSGGRg9oM4bHN6toWt62hMNv1FN3ZRmNNiDXSRwki9jwDq7cmpI9uE&s,"(85, 92, 123)"
37,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUph472CNvJtiGAmB9XcQ7uGiJbs4XTHGkR0_IKI1nTeeO4aXuWyS8e9p62A&s,"(230, 210, 226)"
38,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU1XeJu3eO37XvpXORwU3gNTCDxawIOjzxivZyNa403Ku6Fh9pTj7zuDLbqoI&s,"(224, 224, 224)"
39,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsMDLdfbnmO-tR53nW4jQD3AezxzdxjIMMRB8SRghGNPEiBb2kXrnn1kNxAw&s,"(195, 202, 212)"
40,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQrmlnZf9A-L1mGafz75RRBtOgKS4OhVdHsvFw6uglcw2hatlMzNKXP-p4gQ&s,"(7, 98, 174)"
41,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr5iIvca8I5bH8GKFohhEYZ2hIP2t47udp9FioniA-0232rwPj0LsdAtk3Qg&s,"(234, 187, 74)"
42,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaAsgcSOvsHDOeYXreZbya0LoQVf8qVX2lJJDmFl6lUUmSw2XkFJvmKsFykw&s,"(132, 194, 211)"
43,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV0iFTDipYvhg9GObg6jM47sKtqohXtClED7t_dEzmL9K4qIe5HXdllz9lqN0&s,"(247, 248, 29)"
44,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs6Z1W72hk1M6ZRYziX14ZrVp3aWnjcn_cTt-wlowBpDhqFm_vULdFr9svyTM&s,"(224, 201, 218)"
45,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6EyxWZ8czzIkgO1BcM5CBBsIpixY7unmKAlY4HkwkYcgBHZe_RexB8dWg_gA&s,"(227, 100, 43)"
46,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTFb7f0L5PhOix1gBZehccfOPAl4cjEA9SfFm0hspHSN_LogJv4kDccWZpDg&s,"(181, 170, 137)"
47,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuhuwwQexjnG6dlY30-9cJsQPvtmdUZFA1d7ZXBknnFaf3b68x2Vz_3i-oTZ8&s,"(173, 133, 111)"
48,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHw2TWpSdfPMpEvJqPBMI7ZBVJzUUF69rfv-aowHk41jIGE0ak1DjR_staP_Y&s,"(12, 111, 182)"
49,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkRfKltC83Tv-YQ31O9qIqBC1412Tc5GPUE4a-2VkUgdcoDYjcMdfAmP8Y9Vs&s,"(123, 59, 147)"
50,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLjnKbPLGjjtmnqnaibb2OYlqBy3hz4cvFc06BDTHWwIAeCJCV6V7pxhLacFY&s,"(213, 158, 17)"
51,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGXSy6kuao5B2cL_CV5QbygDyLKySthEMmqljQ7ZvQ7SBHPGjCNA2G9nYBXvc&s,"(250, 218, 59)"
52,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShejxie8BMnR9joonlwHNvRw7HpruBWAQhW69hJkM-xMJ5HeafciYwp9uEtw&s,"(243, 195, 12)"
53,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCftlBvbd86RB-mez0tAk7mVwEdSUj5hz6acTXsxob4ffUuplgEZhTiZHP0JI&s,"(20, 12, 9)"
54,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVEyT0neH34JO4sbnNV3QIqH-88jXws0_hcvRQ-Ta6mPwKSrZb1SJDk-e13d4&s,"(180, 166, 132)"
55,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqf2rbWCmUwzFsSUsnbV3cyupBP0_E2GL3x5DBAL6hVzN07g24XY-5UrOh0Q&s,"(18, 204, 238)"
56,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8jm3Tdn4xrtSvwbIInH5ATs_HEWhIBsA-j82C0dzZ2D9MevGq2AN4TR0WICA&s,"(212, 201, 193)"
57,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHE07TOmYmJTwrlVYOF0EQZlwGrSkUHlBTzRSx17ET9dX_6MMJIFfBT0npUpw&s,"(197, 120, 13)"
58,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStCV8IjrPrcL25RnYNnzszE8WM3ZhJsHTyPVRwSqD7WdVJWlTODwVerQSXMw&s,"(133, 142, 80)"
59,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKqkfoGu_LnwAXPBZDMqmdOPGJcvxlewB2sGsKDccLnHJK9AMq2XaYvtPtOkA&s,"(248, 186, 22)"
60,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSMv3Km5xIEPA-skYyZzfZ9mm98IDIjoC8QQEbYdAQ6rBIvewGSkzTngJJyr0&s,"(181, 170, 165)"
61,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnHMNipc-lBVOVW0Ih06OJ4264SwVsTIGmXddN4UoBI2zajNES9cGiPh7ggg&s,"(220, 54, 42)"
62,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_TkAhqPwtj0htUmyxUQ78TUIXsMywnp6szQFv24f5t8PfYSz7n3C17vImSYY&s,"(36, 27, 25)"
63,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRL9FrNPitYvmuYzhg5WPVAEu3fRfWzOG1PX-PCuevqmRK4hncObvU2kAsGmt4&s,"(208, 215, 207)"
64,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr7NUDfay67ucbg-TpFXruCcEVjTowIfkRAPDa5wHnHmpnbKJKAfxfUyHQ4Q&s,"(179, 230, 223)"
65,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSONswaPKJr_Gs7oWOwJ2oO3-DljQJquZ2dnTGrFHQl_uJtsCHkdwnKt_RGcQ&s,"(197, 175, 172)"
66,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-GeNrmF82ZIKFFHvZDIcXa9z-dTaIy_jWlvaI33H9VvdLVK3sus9ZbL8sJQ&s,"(247, 193, 55)"
67,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNpVBk2i7AqM4mMrlfaRzhnkeJ2KaUj5KjnsRuojoUEZpKPAO5HZAlGJJbWJ4&s,"(102, 51, 59)"
68,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1S0Fc11tgO4YJhgrToHK8Sj1BbzcoR-RrZSk4aLb6yNXZRL3wDrs1YNoXrt0&s,"(195, 66, 8)"
69,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjzJTeksl7tHHQO93dRhiKWxf1uqZQ_2idXZZ3ARxCBmuNT4xwapUSpiw6vQ&s,"(215, 212, 212)"
70,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFh_OZ9KdZ5JvjsTQMeZMIhtf_31I4ZaoNzRw3lTztOYbvTveJ8OysziCUJg&s,"(191, 36, 43)"
71,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzypNH_ARe3bPKaAj_diwhhnqgrEnze5EzMCaD8nFR70b71998sHUqY6mdFQ&s,"(30, 13, 12)"
72,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRuEOHrxqf5eK8RHWX8UWLpo6clw2rzWnt9zmUIQsijuQpsI-1rxuniIZCDg&s,"(229, 20, 17)"
73,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7qaNaijKrol1d-1NsZ8CZscjyQs4Xh2ziQ6SIlYmvSPNIwcATmKOP0TJJaA&s,"(233, 188, 73)"
74,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoVpuHojf4ZBxCxYSD1hcT0LSzSXqyDNPN7fjvutFpmxmAaxDsEtXVxVOrcBQ&s,"(40, 22, 21)"
75,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9unC2QmpQ40gqliNtOcPSk1zsJ4BA-PjVSsokhpezA1KZhZpgUTkkItzPWhg&s,"(166, 122, 117)"
76,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSS0kdJPZ5zoJG_DCXnbrzox9Qkp10MyF7_BYkKPACpfdBsG_DZgcOfNjogw&s,"(202, 193, 191)"
77,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsf-Wg1O90cd_xnXaXcG3fp1NVfdq-zYo3s07TZ7CAUqdz94fCFXcL4JoHaA&s,"(167, 131, 128)"
78,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2eUZ5orjDRGnKhjWjjmKZssJrkuFRghI_xzpR14VIyP5DsBiS3gRgI2Nj7Q&s,"(251, 249, 249)"
79,angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT55xsH5ZBXr80NvmvrHFuCiP1bTEHcTgMlZ9U02Lui2qTvgZC0r5Q1YKy-MOI&s,"(181, 135, 125)"
80,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5klIZCq1J4S97U_pASgglMXWQ1VDerDdf6AeprMQTmPE9d_2dAuetEHiJ9g&s,"(155, 210, 220)"
81,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4iNpSQyWTtAEuU-q0SXWtmZKk0Qt3H0uwiI_TI1_xKIA0hGOF-aAqHaEQhlw&s,"(218, 209, 206)"
82,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmYZl2YSsz4wXmu3XHmC7dVK5AIpZa0qFb_EA9rfswYeOx85YvAUkinvgTcac&s,"(15, 22, 15)"
83,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCGGNY4HnK9NjUesRw_kq0ixo5jUovrHFLpOKoz4q-08vVrenZsM8h_JTAvw&s,"(220, 82, 71)"
84,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0QNIlKdq1OwbL1RE-U3pH5c3wCSgvWklEmsOtezQth9Rl4FtxPbR2bY4PPIs&s,"(67, 65, 58)"
85,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiXGc-r0IA3_8szUq9tNr34sXoLRYbIKrbgZM1Tcd94paB2nmy16S8cBofvZk&s,"(203, 186, 182)"
86,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM3jRwuLMZ8YOEgmNPKsV5rDb-vfZXapJpNiWfh3rbNTGPtCj7nMDWQZ1mhx0&s,"(224, 170, 171)"
87,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQY35oY1X9r0CJYuUMy83-jlMuIxhxFB9ZgM9iS_MdISL1ucuMEKm7bzROuw&s,"(206, 231, 228)"
88,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG45XtdtMNUgKVJDlso-_9WcIBMJcCMEnYNGf9lz8IUhKQdwKOQCY9dsdmGLw&s,"(241, 239, 238)"
89,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpl1sQUGp08Dn2WJgwAc3RtkPJWvXyB5Be2cXUhCwz6OEGeUO19m1aJ_1OMw&s,"(37, 32, 31)"
90,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqgaCbD0SdOEh-ncYLaB0RQt8nx6_exdnaEvcetpOPYhb3tgKNxTm85Wn-Og8&s,"(192, 131, 103)"
91,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNtd5644kOSOtucHL_paqk9V05Z1WDTYSK6-mcZweUD8Ft2dApWQX8Q9TpJg&s,"(189, 205, 214)"
92,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiLch2zS5si4zdhGYXRw-k-qhiZdgAm3CGcj19rC2p9MegkBU_lAEhDOn1v_Q&s,"(217, 210, 209)"
93,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV3y3h1be3tUIJuosndhpCMCicrZDdZOlHroIea_MUUhuT1ko-MOjk97BSAQ&s,"(217, 225, 197)"
94,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPqgzGJhuU9zj5gtUfefDKalNpMQSLtgUkUGgDEULUgDICmuoHBGQPS9x2wgo&s,"(217, 211, 204)"
95,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSleGbDVUq9WtJClYb6zUpKA6mxTtSCCa5D3gIP7bMvGbKaw8uQBffkNq6YDg&s,"(37, 34, 38)"
96,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqTzJ5t8J7oN9keTwA-eDVsoOsX2mf8b3gkuTCQPsuRdbGosu5mMZ0fx0E0w&s,"(209, 204, 205)"
97,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbmJNxIQIQaWXO263xFsDLyYDLiUf80eizEExd1efdgMfdLvUUP0IgWyzkjA&s,"(230, 229, 228)"
98,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTALeKumECAzUZznZ9sKwdWJS0p8kU-pTtoH3a5Y19iHEeozC7OJ-oj3z0GEA&s,"(185, 177, 171)"
99,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSr_R7SoxrqK0UA8SyGnbaarhxkHRn-2A9-_KeOPnztWFVyzglXhzPE4OyDQg&s,"(196, 179, 161)"
